IDtimetable,coursecode,IDprogramme,coursegrps,numbstudents,stdlevel,IDroom,roomname,examPERIOD,examDATE
4555,ESS401,B. ED. ( SOC. SCI.),NULL,101,400,48,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,16-May-2013
4556,EBS411,B. ED. ( BASIC. ED.),NULL,51,400,30,LECTURE THEATER,15:30PM - 17:30PM,16-May-2013
4557,LAT401B,BSC ( LAB. TECH),NULL,75,400,41,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,24-May-2013
4558,EIN463,B. ED. ( BASIC EDUCATION),NULL,87,400,49,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,06-May-2013
4559,NUR431,BSC. ( NURSING),NULL,143,400,48,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,14-May-2013
4560,COM402,B. COM.,NULL,196,400,48,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,13-May-2013
4561,HUB410,BSC ( HUMAN BIOLOGY),NULL,66,400,50,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,16-May-2013
4562,MED402,MB Ch. B.,NULL,49,400,24,LECTURE THEATER,12NOON - 14:00PM,21-May-2013
4563,BPS322,B. SC. (PSYCH),NULL,202,400,48,FACULTY OF EDUCATION LECTURE THEATRE,15:30PM - 17:30PM,06-May-2013
4564,BPS426,B. SC. (PSYCH),NULL,161,400,33,ASSEMBLY HALL,15:30PM - 17:30PM,14-May-2013
4565,AEN403N,BSC. ( AGRIC),NULL,115,400,32,"LARGE LECTURE THEATER ",15:30PM - 17:30PM,23-May-2013
4566,FRE206,B. A. ( ARTS),NULL,1,200,55,LECTURE THEATER,12NOON - 14:00PM,20-May-2013
4567,ACT212,BSC. ( ACTUARIAL SCI.),NULL,15,200,55,LECTURE THEATER,12NOON - 14:00PM,20-May-2013
4568,EAS210,B. ED. ( ARTS),NULL,8,200,5,LECTURE THEATER,15:30PM - 17:30PM,21-May-2013
4569,EVT222,B. ED. ( HOME ECONS.),NULL,19,200,5,LECTURE THEATER,15:30PM - 17:30PM,21-May-2013
4570,OPT210,OD. ( OPTOMETRY),NULL,9,200,7,LECTURE THEATER,12NOON - 14:00PM,17-May-2013
4571,ANT204,B.A. ( ANTHROPOLOGY),NULL,13,200,7,LECTURE THEATER,12NOON - 14:00PM,17-May-2013
4572,GAD201B,B. A. ( SOCIAL SCIENCES),NULL,4,200,7,LECTURE THEATER,12NOON - 14:00PM,17-May-2013
4573,EIN236,B. ED. ( BASIC EDUCATION),NULL,2,200,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4574,NUR202,BSC. ( NURSING),NULL,181,200,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,17-May-2013
4575,EBS211,B. ED. ( BASIC. ED.),NULL,55,200,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,17-May-2013
4576,INF202,BSC ( INFO. TECH.),NULL,35,200,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,17-May-2013
4577,ESS217,B. ED. ( SOC. SCI.),NULL,90,200,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,17-May-2013
4578,BPS224,B. SC. (PSYCH),NULL,168,200,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,17-May-2013
4579,INF210,BSC ( INFO. TECH.),NULL,36,200,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,09-May-2013
4580,CTN202,BSC ( INDUSTRIAL CHEMISTRY),NULL,29,200,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,09-May-2013
4581,EPH243,B. ED. ( HPER),NULL,43,200,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,09-May-2013
4582,AEC202N,BSC. ( AGRIC),NULL,99,200,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,09-May-2013
4583,LAT207,BSC ( LAB. TECH),NULL,34,200,43,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,24-May-2013
4584,MED210,MB Ch. B.,NULL,54,200,34,"ASSEMBLY HALL ",15:30PM - 17:30PM,20-May-2013
4585,ANT202,B.A. ( ANTHROPOLOGY),NULL,13,200,34,"ASSEMBLY HALL ",15:30PM - 17:30PM,20-May-2013
4586,EVT214,B. ED. ( HOME ECONS.),NULL,66,200,50,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4587,ESS218,B. ED. ( SOC. SCI.),NULL,16,200,43,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,24-May-2013
4588,ESC214,B. ED. ( SCIENCE),NULL,30,200,50,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4589,MED299,MB Ch. B.,NULL,54,200,19,LECTURE THEATER,15:30PM - 17:30PM,24-May-2013
4590,POH202,BA ( POP. & HEALTH.),NULL,44,200,46,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,21-May-2013
4591,ECE204,B. ED. ( EARLY CHILDHOOD EDUCATION),NULL,51,200,46,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,21-May-2013
4592,ESS213,B. ED. ( SOC. STD.),NULL,46,200,45,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,14-May-2013
4593,MED208,MB Ch. B.,NULL,54,200,35,ASSEMBLY HALL,08:30AM - 10:30AM,07-May-2013
4594,EBS216,B. ED. ( BASIC. ED.),NULL,18,200,35,ASSEMBLY HALL,08:30AM - 10:30AM,07-May-2013
4595,EIN223,B. ED. ( BASIC EDUCATION),NULL,14,200,46,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,21-May-2013
4596,CWS210,BSC. ( WATER AND SANITATION),NULL,3,200,34,"ASSEMBLY HALL ",15:30PM - 17:30PM,20-May-2013
4597,EHS242N,B. ED. ( HEALTH SCIENCES),NULL,2,200,7,LECTURE THEATER,12NOON - 14:00PM,17-May-2013
4598,EBS213,B. ED. ( BASIC. ED.),NULL,55,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4599,EHS232N,B. ED. ( HEALTH SCIENCES),NULL,6,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4600,CTN208,BSC ( INDUSTRIAL CHEMISTRY),NULL,29,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
